,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela,Vietnam
2020-03-25,0.02631578947368421,0.020671834625323002,0.1282051282051282,0.0,0.0,0.0,0.0231010180109632,0.0,0.0,0.0025062656641604013,0.04022728107664614,0.00851063829787234,0.009950248756218905,0.017543859649122806,0.025510204081632654,0.023870417732310314,0.0,0.04166666666666666,0.2,0.0,0.0,0.0182648401826484,0.07341772151898733,0.03424657534246575,0.0,0.0111358574610245,0.01263157894736842,0.0,0.0,0.0,0.007493755203996671,0.01805869074492099,0.08108108108108109,0.11875,0.059748427672955975,0.003169572107765452,0.0,0.0,0.004282655246252678,0.0,0.0,0.0
2020-03-26,0.0375,0.017928286852589643,0.11363636363636365,0.0,0.0,0.0,0.02579564489112228,0.0,0.0,0.002939015429831007,0.04024112885476022,0.012219959266802444,0.008658008658008658,0.02985074626865672,0.020491803278688527,0.024233784746970775,0.0,0.04,0.2,0.0,0.019230769230769232,0.02751031636863824,0.08734602463605823,0.033192090395480225,0.0,0.011324470704086657,0.013675213675213677,0.0,0.0,0.0,0.008011653313911144,0.014336917562724013,0.07317073170731707,0.1086206896551724,0.06364922206506365,0.002928257686676428,0.0,0.0,0.0038277511961722493,0.0,0.0,0.0
2020-03-27,0.03296703296703297,0.022071307300509338,0.10416666666666667,0.0,0.0,0.0,0.026924202516827627,0.0,0.0,0.003003003003003003,0.04024567444472935,0.011131725417439705,0.0076045627376425855,0.025,0.03442340791738382,0.0225705329153605,0.0,0.03571428571428571,0.2,0.0,0.014705882352941175,0.02254791431792559,0.08317399617590822,0.034640522875816995,0.0,0.012031466913465988,0.016736401673640166,0.0,0.0,0.5,0.008026755852842809,0.013353115727002969,0.0576923076923077,0.11181102362204724,0.06724782067247821,0.00273224043715847,0.0,0.0,0.0044014084507042256,0.0,0.009345794392523364,0.0
2020-03-28,0.037383177570093455,0.026086956521739132,0.10416666666666667,0.0,0.0,0.0,0.028432377049180325,0.008333333333333333,0.0,0.002977667493796526,0.04023219795363358,0.009868421052631578,0.006779661016949152,0.025210084033613446,0.03894297635605007,0.026330224904004388,0.0,0.029411764705882356,0.125,0.0,0.010526315789473684,0.0243161094224924,0.08831168831168831,0.032407407407407406,0.0,0.01163793103448276,0.018867924528301886,0.0,0.0,0.25,0.008766437069505322,0.017811704834605598,0.05357142857142857,0.12816691505216096,0.06325581395348838,0.002493765586034913,0.008849557522123894,0.0,0.004819277108433735,0.0033003300330033004,0.01680672268907563,0.0
2020-03-29,0.03389830508474576,0.025503355704697986,0.10416666666666667,0.0,0.0,0.012345679012345678,0.03195488721804511,0.007936507936507936,0.0,0.00311804008908686,0.040232824334526684,0.014245014245014244,0.006369426751592357,0.02158273381294964,0.045401629802095465,0.03014553014553015,0.0,0.029411764705882356,0.125,0.0,0.027272727272727268,0.0263671875,0.088715953307393,0.033036182485579435,0.0,0.01417004048582996,0.02014098690835851,0.0,0.0,0.25,0.0122306348281887,0.018867924528301886,0.05084745762711865,0.11150234741784038,0.05007052186177715,0.0035545023696682467,0.008547008547008548,0.0,0.005043227665706053,0.0032362459546925572,0.01680672268907563,0.0
2020-03-30,0.0273972602739726,0.028048780487804882,0.1020408163265306,0.0,0.0,0.041237113402061855,0.03472373880759992,0.007874015748031496,0.0,0.0031311154598825837,0.04024428818219421,0.015037593984962403,0.006060606060606061,0.023529411764705882,0.04661487236403995,0.03058103975535168,0.0,0.027777777777777776,0.125,0.0,0.05035971223021583,0.02557953637090328,0.08628005657708628,0.03248375812093953,0.0,0.014089870525514091,0.025594149908592326,0.0,0.0,0.25,0.013415892672858616,0.024266936299292212,0.046875,0.11894736842105265,0.05045278137128072,0.0034129692832764505,0.016393442622950817,0.0,0.005905511811023622,0.003125,0.022222222222222227,0.0
2020-03-31,0.022857142857142857,0.025616698292220116,0.09803921568627452,0.0,0.0,0.05607476635514018,0.035158299807591394,0.007751937984496123,0.0,0.004219409282700422,0.040216823247730286,0.017660044150110375,0.005763688760806916,0.03225806451612903,0.04598737601442741,0.033482142857142856,0.03125,0.02631578947368421,0.16666666666666666,0.0,0.04964539007092199,0.02505368647100931,0.08900523560209424,0.029711751662971176,0.0,0.015545914678235719,0.023868312757201648,0.0,0.0,0.2,0.012747875354107648,0.02540220152413209,0.04615384615384616,0.1295774647887324,0.04222648752399232,0.003239740820734341,0.013986013986013986,0.0,0.006056935190793458,0.002958579881656805,0.022222222222222227,0.0
2020-04-01,0.02030456852791878,0.026565464895635674,0.1111111111111111,0.0,0.0,0.060869565217391314,0.03510825043885313,0.0076335877862595426,0.0,0.005100414408670704,0.04026177438350675,0.01596244131455399,0.005333333333333333,0.02830188679245283,0.04439252336448598,0.03384279475982533,0.03125,0.02564102564102564,0.10526315789473684,0.0,0.05813953488372092,0.02902902902902903,0.0936195587358378,0.028402366863905324,0.0,0.015474552957359009,0.026850507982583455,0.0,0.0,0.2,0.014043783560512184,0.02540220152413209,0.043478260869565216,0.12169312169312167,0.04154045867589788,0.003,0.02054794520547945,0.0,0.006775832862789385,0.005714285714285714,0.02097902097902098,0.0
2020-04-02,0.016666666666666666,0.03177405119152692,0.10714285714285714,0.0,0.0,0.06504065040650407,0.04027846842366982,0.0075187969924812035,0.0,0.005128205128205128,0.04029988354037267,0.01636520241171404,0.005050505050505051,0.02575107296137339,0.043478260869565216,0.0379386658235852,0.04878048780487805,0.02127659574468085,0.21052631578947367,0.0,0.0639269406392694,0.028313016122689737,0.09497206703910614,0.026614620298083747,0.0,0.016046213093709884,0.03311258278145696,0.0,0.0,0.2,0.014892032762472078,0.02429764616552772,0.03896103896103896,0.12942008486562942,0.04063805545005697,0.0038131553860819827,0.026490066225165563,0.0,0.008,0.010840108401084009,0.03424657534246575,0.0
2020-04-03,0.029090909090909087,0.0308300395256917,0.09836065573770493,0.0,0.0,0.06818181818181818,0.039642226148409884,0.00746268656716418,0.0,0.005724694249284413,0.04030977687823442,0.01973164956590371,0.004807692307692308,0.022304832713754646,0.0456989247311828,0.043052256532066506,0.043478260869565216,0.02,0.17391304347826084,0.0,0.06756756756756757,0.028048305414881184,0.09113796576032224,0.02568167406467977,0.0,0.0159015901590159,0.035545023696682464,0.0,0.0,0.2,0.014549325762952446,0.02508474576271186,0.03260869565217391,0.1310344827586207,0.045062955599734916,0.004488330341113106,0.025157232704402517,0.1,0.009605662285136502,0.010362694300518135,0.0457516339869281,0.0
2020-04-04,0.03333333333333333,0.029634734665747762,0.11428571428571427,0.0,0.0,0.07194244604316546,0.04295366795366795,0.007407407407407408,0.0,0.006199770378874856,0.0403426093066644,0.022759601706970133,0.004597701149425286,0.02083333333333333,0.0456989247311828,0.049639249639249636,0.05357142857142857,0.032786885245901634,0.17391304347826084,0.0,0.05681818181818181,0.02790395846852693,0.0913001912045889,0.024680851063829792,0.0,0.01636520241171404,0.0417989417989418,0.0,0.0,0.2,0.014887551472917327,0.024506873879258817,0.03125,0.147766323024055,0.04654169360051713,0.005046257359125316,0.030120481927710843,0.1,0.009675858732462506,0.0125,0.045161290322580636,0.0
2020-04-05,0.035502958579881665,0.03032391454169538,0.10227272727272728,0.0,0.0,0.06369426751592358,0.04366576819407008,0.007407407407407408,0.0,0.007288317256162915,0.04035011258807293,0.02356902356902357,0.004405286343612335,0.025,0.04699140401146132,0.04936917169500823,0.04838709677419355,0.032786885245901634,0.16666666666666666,0.0,0.08208955223880597,0.02759197324414716,0.08710954685437748,0.023993808049535603,0.0,0.016657564172583288,0.04386374241717219,0.0,0.0,0.16666666666666666,0.014073287307488051,0.025541365907828985,0.02884615384615385,0.13897413415168786,0.04682686383240912,0.004583651642475172,0.028409090909090905,0.1,0.010603964960811434,0.014778325123152709,0.0440251572327044,0.0
2020-04-06,0.040760869565217385,0.03088803088803089,0.0975609756097561,0.14285714285714285,0.0,0.060109289617486336,0.046377764986432035,0.007407407407407408,0.0,0.007386703932920744,0.040343555313615186,0.02913236225459152,0.004282655246252678,0.025714285714285717,0.04704595185995624,0.05097411262343208,0.05797101449275361,0.042857142857142864,0.12903225806451613,0.0,0.0738255033557047,0.02846379238174969,0.08390204737053393,0.02335766423357664,0.0,0.01634590034273662,0.05125051250512505,0.0,0.0,0.16666666666666666,0.014126394052044609,0.02716297786720322,0.04424778761061947,0.1405700898086685,0.044535519125683064,0.004363636363636364,0.02808988764044944,0.1,0.011711711711711712,0.014457831325301203,0.042424242424242434,0.0
2020-04-07,0.03773584905660377,0.0343980343980344,0.10365853658536583,0.14285714285714285,0.0,0.07216494845360824,0.048881288299843235,0.007407407407407408,0.0,0.008097928436911487,0.040317705940665874,0.02808988764044944,0.004140786749482402,0.027777777777777776,0.05010224948875256,0.05097411262343208,0.05128205128205128,0.03896103896103896,0.15151515151515152,0.04166666666666666,0.07213114754098361,0.02824326868762945,0.08071585098612126,0.021850613154960983,0.0,0.015897047691143074,0.05062836624775584,0.0,0.0,0.16666666666666666,0.014309171944639924,0.02619047619047619,0.043478260869565216,0.14319566689234936,0.047024442082890534,0.004051316677920324,0.032432432432432434,0.1,0.011957484499557131,0.01650943396226415,0.042424242424242434,0.0
