,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Brazil,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay
2020-02-27,2.5688225449936335e-08,0.0,0.0,0.0,0.0,4.704567088817978e-09,5.981229347188891e-08,1.0462325453754977e-07,5.460897778514704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.7236409324492626e-06,7.106223018366373e-07,0.0,0.0,3.432084942180352e-08,0.0,9.054184864389882e-09,0.0,0.0,0.0,2.7376987552185672e-08,1.5896503846013815e-05,4.670005720757008e-08,0.0,5.730660832013442e-07,0.0
2020-02-28,2.5688225449936335e-08,0.0,0.0,0.0,0.0,4.704567088817978e-09,5.981229347188891e-08,1.0462325453754977e-07,5.483686257794002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.865959908523055e-06,7.106223018366373e-07,7.755981135375276e-09,0.0,3.432084942180352e-08,0.0,1.8108369728779764e-08,0.0,0.0,0.0,2.7376987552185672e-08,1.5896503846013815e-05,4.670005720757008e-08,0.0,5.873927352813779e-07,0.0
2020-02-29,2.5688225449936335e-08,0.0,0.0,0.0,0.0,9.409134177635956e-09,5.981229347188891e-08,1.0462325453754977e-07,5.513422444170647e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,1.937119396559951e-06,7.724155454746058e-07,3.1023924541501105e-08,0.0,3.432084942180352e-08,0.0,1.8108369728779764e-08,0.0,0.0,0.0,2.7376987552185672e-08,1.7434875185950633e-05,4.670005720757008e-08,0.0,6.017193873614115e-07,0.0
2020-03-01,2.5688225449936335e-08,0.0,0.0,0.0,0.0,9.409134177635956e-09,5.981229347188891e-08,4.70804645418974e-07,5.5534412370513645e-05,0.0,0.0,0.0,9.218370664047173e-08,3.400770614621273e-07,0.0,0.0,0.0,0.0,0.0,2.1739061358127495e-09,0.0,2.047811933506234e-06,8.960020327505426e-07,3.8779905676876376e-08,0.0,3.432084942180352e-08,0.0,1.8108369728779764e-08,0.0,0.0,0.0,2.7376987552185672e-08,1.8118595781478112e-05,4.670005720757008e-08,0.0,6.017193873614115e-07,0.0
2020-03-02,2.5688225449936335e-08,0.0,0.0,0.0,0.0,9.409134177635956e-09,5.981229347188891e-08,4.70804645418974e-07,5.567614559529952e-05,0.0,0.0,0.0,9.218370664047173e-08,3.400770614621273e-07,0.0,0.0,0.0,0.0,0.0,3.6231768930212498e-09,7.311982755595356e-09,2.198037519361904e-06,8.960020327505426e-07,3.8779905676876376e-08,0.0,3.432084942180352e-08,0.0,2.2635462160974706e-08,0.0,0.0,0.0,2.7376987552185672e-08,1.846045607924185e-05,4.670005720757008e-08,0.0,6.16046039441445e-07,0.0
2020-03-03,5.137645089987267e-08,2.212596101622504e-08,0.0,0.0,0.0,9.409134177635956e-09,5.981229347188891e-08,5.231162726877489e-07,5.576299193401637e-05,0.0,0.0,0.0,9.218370664047173e-08,3.967565717058152e-07,0.0,0.0,0.0,0.0,0.0,3.6231768930212498e-09,7.311982755595356e-09,2.35616971499945e-06,1.1122783854834324e-06,3.8779905676876376e-08,0.0,3.432084942180352e-08,0.0,2.2635462160974706e-08,0.0,0.0,0.0,2.7376987552185672e-08,1.8802316377005588e-05,4.670005720757008e-08,0.0,6.16046039441445e-07,0.0
2020-03-04,1.0275290179974534e-07,2.212596101622504e-08,0.0,0.0,0.0,1.8818268355271912e-08,5.981229347188891e-08,5.231162726877489e-07,5.5849838272733204e-05,0.0,0.0,0.0,9.218370664047173e-08,5.667951024368789e-07,0.0,0.0,0.0,0.0,0.0,2.0289790600918995e-08,7.311982755595356e-09,2.632901057365158e-06,1.5448310909492115e-06,3.8779905676876376e-08,0.0,3.432084942180352e-08,0.0,2.2635462160974706e-08,0.0,0.0,0.0,2.7376987552185672e-08,1.8802316377005588e-05,4.670005720757008e-08,0.0,6.16046039441445e-07,0.0
2020-03-05,1.0275290179974534e-07,2.212596101622504e-08,0.0,0.0,0.0,1.8818268355271912e-08,5.981229347188891e-08,6.800511544940736e-07,5.595474864990314e-05,0.0,0.0,0.0,9.218370664047173e-08,7.368336331679425e-07,0.0,0.0,0.0,0.0,0.0,2.1739061358127492e-08,7.311982755595356e-09,2.8859125703852334e-06,1.5448310909492115e-06,3.8779905676876376e-08,0.0,3.432084942180352e-08,0.0,2.7162554593169642e-08,0.0,0.0,0.0,2.7376987552185672e-08,1.9998827419178672e-05,4.670005720757008e-08,0.0,6.733526477615795e-07,0.0
2020-03-06,1.0275290179974534e-07,4.425192203245007e-08,0.0,0.0,1.295988139116551e-06,6.115937215463372e-08,5.981229347188891e-08,6.800511544940736e-07,5.606104856849257e-05,1.9652974072774648e-08,1.963049904262056e-07,0.0,1.8436741328094345e-07,7.368336331679425e-07,0.0,0.0,0.0,0.0,0.0,2.2463696736731745e-08,1.4623965511190713e-08,3.320776108388488e-06,2.5644196109756906e-06,4.653588681225165e-08,0.0,3.432084942180352e-08,0.0,2.7162554593169642e-08,0.0,0.0,3.032890545467185e-08,4.562831258697612e-08,2.222091935464297e-05,4.670005720757008e-08,0.0,6.876792998416132e-07,0.0
2020-03-07,1.0275290179974534e-07,1.7700768812980028e-07,0.0,0.0,1.295988139116551e-06,6.115937215463372e-08,5.981229347188891e-08,6.800511544940736e-07,5.6116630225271326e-05,1.9652974072774648e-08,1.963049904262056e-07,0.0,1.8436741328094345e-07,7.368336331679425e-07,0.0,0.0,0.0,0.0,0.0,2.4637602872544492e-08,1.4623965511190713e-08,3.6844801583548452e-06,2.873385829165534e-06,4.653588681225165e-08,0.0,3.432084942180352e-08,0.0,2.7162554593169642e-08,0.0,0.0,3.032890545467185e-08,5.4753975104371344e-08,2.358836054569792e-05,4.670005720757008e-08,0.0,7.163326040016802e-07,0.0
